id,source,recipient,recipient_details,amount,currency,amount_reversed,notes,fees,on_hold,on_hold_until,created_at,recipient_settlement_id,settlement_initiated_on,settlement_utr,settlement_status,tax
trf_IrPJfTUzPAbRHb,order_IrPJfPzICksoR9,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,03-02-2022 10:09,,,,,
trf_IrPt9oSdO5tTj7,order_IrPt9keYZfv1fd,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,03-02-2022 10:42,,,,,
trf_IrPxL14RlNA4aQ,order_IrPxKyHRTmnjSh,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,03-02-2022 10:46,,,,,
trf_IrPzg7yRFEDnyy,order_IrPzg5IQnPAZR1,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,03-02-2022 10:48,,,,,
trf_IrQLg1NShfo4Wb,order_IrQLfy7yjR6MCV,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,03-02-2022 11:09,,,,,
trf_IrQQI0NYFuwyQf,order_IrQQHxCYKGZL44,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,03-02-2022 11:13,,,,,
trf_IrRBs8hDD2PU2H,order_IrRBs4D003KyaM,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,03-02-2022 11:59,,,,,
trf_IrU6SqoubQ4qOT,order_IrU6SnYBm5J8Am,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,03-02-2022 14:49,,,,,
trf_IrU6neaq105R2K,order_IrU6nb4JnrPjVm,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,03-02-2022 14:50,,,,,
trf_IrU9Jx0AQnTHlW,order_IrU9JtdSQcBrFC,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",1,INR,0,[],0,0,,03-02-2022 14:52,setl_IrtxDxJhNB9QEo,04-02-2022 16:07,AXISCN0121176286,processed,0
trf_IrUDnpZ0Pgir8w,order_IrUDnm019M0WoR,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",1,INR,0,[],0,0,,03-02-2022 14:56,setl_IrtxDxJhNB9QEo,04-02-2022 16:07,AXISCN0121176286,processed,0
trf_IrUjuZ70JqL0Ta,order_IrUjuVmtYfefaM,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",1,INR,0,[],0,0,,03-02-2022 15:27,,,,,
trf_J2XFweetG3wjEG,order_J2XFwazk04kNWw,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",1,INR,0,[],0,0,,03-03-2022 13:04,setl_J2yu8phdOAE0ho,04-03-2022 16:06,AXISCN0125034510,processed,0
trf_J2XK1yGKEpp4JV,order_J2XK1v7bppc0IK,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",1,INR,0,[],0,0,,03-03-2022 13:07,setl_J2yu8phdOAE0ho,04-03-2022 16:06,AXISCN0125034510,processed,0
trf_J2XQzPdj1Yfywp,order_J2XQzLFw1GrCay,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,03-03-2022 13:14,setl_J2yu8phdOAE0ho,04-03-2022 16:06,AXISCN0125034510,processed,0
trf_J2d7XYrveISoCi,order_J2d7XU88D6G6A3,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",1,INR,0,[],0,0,,03-03-2022 18:48,setl_J2yu8phdOAE0ho,04-03-2022 16:06,AXISCN0125034510,processed,0
trf_J2dBy1Pzq1F97H,order_J2dBxwsUCLpt1s,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,03-03-2022 18:52,,,,,
trf_J2dxY9rJu5B4aG,order_J2dxY4q4voL3Yz,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,03-03-2022 19:37,,,,,
trf_J2dyQllQT1i2Zt,order_J2dyQgellubU3K,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,03-03-2022 19:38,setl_J2yu8phdOAE0ho,04-03-2022 16:06,AXISCN0125034510,processed,0
trf_J2eKNCGOJBDapT,order_J2eKN7oPEz3XAG,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",1,INR,0,[],0,0,,03-03-2022 19:59,setl_J2yu8phdOAE0ho,04-03-2022 16:06,AXISCN0125034510,processed,0
trf_J2eQf4Sn6yKdmr,order_J2eQeyN28JEevy,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",1,INR,0,[],0,0,,03-03-2022 20:05,setl_J2yu8phdOAE0ho,04-03-2022 16:06,AXISCN0125034510,processed,0
trf_IfZLjVZBcKK0om,order_IfZLjSGJajbv1g,acc_IFTWYGqyIY5rwI,"{""name"":""Shruti Nursing Home"",""email"":""hiteshparikh57test@gmail.com""}",5500,INR,0,[],0,0,,04-01-2022 12:09,,,,,0
trf_IfaKeI4txwtcBe,order_IfaKeF33fnbdSd,acc_IFTWYGqyIY5rwI,"{""name"":""Shruti Nursing Home"",""email"":""hiteshparikh57test@gmail.com""}",8000,INR,0,[],0,0,,04-01-2022 13:07,,,,,
trf_IfbYZKrpyZ9SxJ,order_IfbYZHXwzDmT1k,acc_HuDSfHQHmznIrp,"{""name"":""Aryan Medical Centre"",""email"":""drnirajdubey@yahoo.com""}",1410,INR,0,[],0,0,,04-01-2022 14:19,setl_Ig1sCGjK2PbLrX,05-01-2022 16:04,AXISCN0116479485,processed,0
trf_IrsCzl3Lb4lWX6,order_IrsCzhxz5B1ESt,acc_IErVt2Z9tWgMv9,"{""name"":""k and K SuperSpeciality"",""email"":""drsuraj.baghel@gmail.com""}",599,INR,0,[],0,0,,04-02-2022 14:24,setl_IsIQnWgEw1MUVP,05-02-2022 16:03,AXISCN0121311811,processed,0
trf_J2watdPoKoLFGF,order_J2watYbuBJVS3Z,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,04-03-2022 13:51,setl_J3NRny7fHFgMo3,05-03-2022 16:07,AXISCN0125140981,processed,0
trf_IfwyhRQ8j9L29n,order_IfwyhNAlEfIWcT,acc_IFTWYGqyIY5rwI,"{""name"":""Shruti Nursing Home"",""email"":""hiteshparikh57test@gmail.com""}",1000,INR,0,[],0,0,,05-01-2022 11:16,,,,,0
trf_IfyzUVKwM6CUIT,order_IfyzUQVpyvB25V,acc_HuDSeWoGNmDFKO,"{""name"":""Dr Gandhi Nursing Home"",""email"":""info@drgandhi.org""}",25000,INR,0,[],0,0,,05-01-2022 13:14,setl_IgQa8AL6yOK3lt,06-01-2022 16:14,AXISCN0116747587,processed,0
trf_J3PnXeYmMBw2Hs,order_J3PnXZcMvcFRIw,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,05-03-2022 18:25,,,,,0
trf_J3PolIAZaJXRl5,order_J3PolBn0slGLUt,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,05-03-2022 18:26,,,,,0
trf_J3hxdmaWKhiF98,order_J3hxdhdqkrWKp0,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,06-03-2022 12:11,,,,,0
trf_J3i20upboqxywk,order_J3i20q8IQ3SkNl,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,06-03-2022 12:15,,,,,
trf_J3pmAGhYkfCS9I,order_J3pmA5wZ5t7clC,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,06-03-2022 19:50,,,,,
trf_J3poZ93faHjHbl,order_J3poZ3o79VKGNA,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,06-03-2022 19:52,,,,,
trf_J3pyp87VOBxYAD,order_J3pyp2vqU3NGm0,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,06-03-2022 20:02,,,,,0
trf_It0N96xUjfD91n,order_It0N93pcz8uyN3,acc_IgmV7f6Uucjasu,"{""name"":""Shruti Nursing Home"",""email"":""hiteshparikh57@gmail.com""}",7000,INR,0,[],0,0,,07-02-2022 11:02,,,,,
trf_It1vifV6urPHLU,order_It1vibwtrr5Mjg,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,07-02-2022 12:34,,,,,
trf_It3altQNJKa6Nk,order_It3alpKd8JUVF7,acc_IqHtVNxYF0pQxK,"{""name"":""USHAKIRAN GENERAL HOSPITAL"",""email"":""ushakirangaikwad@gmail.com""}",400,INR,0,[],0,0,,07-02-2022 14:11,setl_ItTya2Qq6FNU2e,08-02-2022 16:00,AXISCN0121587278,processed,0
trf_Ih9w9llJs7jxxQ,order_Ih9w9gZnTZJE1l,acc_HuDSeWoGNmDFKO,"{""name"":""Dr Gandhi Nursing Home"",""email"":""info@drgandhi.org""}",39000,INR,0,[],0,0,,08-01-2022 12:36,setl_Ii0VTTZZLxuuWZ,10-01-2022 16:01,AXISCN0117386865,processed,0
trf_ItokvAmTeYWPwF,order_Itokv7lsEst6Zb,acc_HucUPONW8tf5Av,"{""name"":""RAJESHWAR EYE SURGERY'CHILD CARE"",""email"":""vijaykhetan8@gmail.com""}",499,INR,0,[],0,0,,09-02-2022 12:20,,,,,
trf_ItolThB7v4mVZx,order_ItolTcRbYba8J9,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,09-02-2022 12:20,,,,,
trf_ItolpgImd8gqUA,order_ItolpbIiz1mByH,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,09-02-2022 12:21,,,,,
trf_IttAs7zjB8ASH0,order_IttAs2y99WUIoB,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,09-02-2022 16:39,setl_IuH898ojqIDXdZ,10-02-2022 16:05,AXISCN0122039947,processed,0
trf_IhyCoRjD7L4B0O,order_IhyCoNDsDluGQl,acc_IJ4nGMlZdqBvBG,"{""name"":""Arise Hospital"",""email"":""arisehospital879@gmail.com""}",10,INR,0,[],0,0,,10-01-2022 13:46,,,,,
trf_Ii3QD14o9vNQ6D,pay_Ii39zql2cN5nUj,acc_IbgElmkIx3WUge,"{""name"":""Credi Fare"",""email"":""credifare@gmail.com""}",75000,INR,0,[],0,0,,10-01-2022 18:52,setl_IiP4uWxkDmVig8,11-01-2022 16:04,AXISCN0117626735,processed,0
trf_Ii3RkxH1nq4nlQ,pay_Ii39zql2cN5nUj,acc_IJ4nGMlZdqBvBG,"{""name"":""Arise Hospital"",""email"":""arisehospital879@gmail.com""}",23419,INR,0,[],0,0,,10-01-2022 18:54,setl_IiP4n74Q1Vcl6E,11-01-2022 16:03,AXISCN0117622833,processed,0
trf_IuCBZrl5lLrQWZ,order_IuCBZoaMgaQVCM,acc_IEMnJ7Dj3A0DyO,"{""name"":""Shree Hospital"",""email"":""drskodag@gmail.com""}",1,INR,0,[],0,0,,10-02-2022 11:15,,,,,
trf_IuJ5WJYb3lUxAN,order_IuJ5WEnm9oGUyf,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,10-02-2022 18:00,,,,,
trf_IuJFre0r5JJBbs,order_IuJFrYHgcB1gH5,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,10-02-2022 18:10,,,,,
trf_IuJn37FUMFV4H6,order_IuJn32kYeQegy6,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,10-02-2022 18:41,setl_IufcTNxcEX31N6,11-02-2022 16:02,AXISCN0122173791,processed,0
trf_IuNwLChu62FTQv,order_IuNwL8Xqmg02fn,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,10-02-2022 22:45,setl_IufcTNxcEX31N6,11-02-2022 16:02,AXISCN0122173791,processed,0
trf_IudcTnPLbB7i1x,order_IudcTiYewpZNMQ,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,11-02-2022 14:05,,,,,
trf_IudefPevjb5T0V,order_IudefLqlmeqF7M,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,11-02-2022 14:07,setl_IvrKOPtFEYsvVB,14-02-2022 16:09,AXISCN0122384955,processed,0
trf_Ij7q62YJ24LZEZ,order_Ij7q5zIidYMTIq,acc_HuDSeWoGNmDFKO,"{""name"":""Dr Gandhi Nursing Home"",""email"":""info@drgandhi.org""}",14600,INR,0,[],0,0,,13-01-2022 11:51,,,,,
trf_Ij8rM1T6CqfVQA,order_Ij8rLyVyuFh4Ct,acc_IgmV7f6Uucjasu,"{""name"":""Shruti Nursing Home"",""email"":""hiteshparikh57@gmail.com""}",240,INR,0,[],0,0,,13-01-2022 12:51,setl_IjahRsWN2Xlyui,14-01-2022 16:05,CB0015779187,processed,0
trf_IjFYpoCMGUcjzh,order_IjFYpkMczX5QRN,acc_IgmV7f6Uucjasu,"{""name"":""Shruti Nursing Home"",""email"":""hiteshparikh57@gmail.com""}",59000,INR,0,[],0,0,,13-01-2022 19:24,setl_IjahRsWN2Xlyui,14-01-2022 16:05,CB0015779187,processed,0
trf_IjXgTMqwGndylU,order_IjXgTIvPcHRU8P,acc_IgmV7f6Uucjasu,"{""name"":""Shruti Nursing Home"",""email"":""hiteshparikh57@gmail.com""}",5000,INR,0,[],0,0,,14-01-2022 13:08,setl_IjzGhnUHFnrgq6,15-01-2022 16:07,CB0015786465,processed,0
trf_IvnqZuO2eyePvI,order_IvnqZpZ1kKOAbc,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,14-02-2022 12:44,setl_IwHUipf0cqe9tP,15-02-2022 17:44,AXISCN0122573702,processed,0
trf_Ivs6pVKboeBPlo,order_Ivs6pQcMbokuxM,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,14-02-2022 16:54,setl_IwHUipf0cqe9tP,15-02-2022 17:44,AXISCN0122573702,processed,0
trf_IvtR5MFhpCjntJ,order_IvtR5GdvpZx5EF,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,14-02-2022 18:12,setl_IwHUipf0cqe9tP,15-02-2022 17:44,AXISCN0122573702,processed,0
trf_Ivts9CNv8gC9Ol,order_Ivts96nSIcrPoB,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,14-02-2022 18:38,setl_IwHUipf0cqe9tP,15-02-2022 17:44,AXISCN0122573702,processed,0
trf_Ivu3Sk7GERbUs9,order_Ivu3Sdwm0SDk65,acc_IErVt2Z9tWgMv9,"{""name"":""k and K SuperSpeciality"",""email"":""drsuraj.baghel@gmail.com""}",599,INR,0,[],0,0,,14-02-2022 18:49,setl_IwHVl3cY4UC4Sg,15-02-2022 17:45,AXISCN0122570736,processed,0
trf_IvvhWcYEhnNoLd,order_IvvhWYXJRDNL2f,acc_IgmV7f6Uucjasu,"{""name"":""Shruti Nursing Home"",""email"":""hiteshparikh57@gmail.com""}",24000,INR,0,[],0,0,,14-02-2022 20:25,setl_IwHVRBZQVOdMFw,15-02-2022 17:45,CB0016176364,processed,0
trf_IwGYsX83NZFv99,order_IwGYsSO9tecMWy,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,15-02-2022 16:50,,,,,
trf_IwGivBV9RNV0cR,order_IwGiv5wa8QPjNR,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,15-02-2022 16:59,setl_IweJANIaJeapxq,16-02-2022 16:03,AXISCN0122719847,processed,0
trf_IwGmnsb665G90v,order_IwGmnntmiNnozI,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,15-02-2022 17:03,setl_IweJANIaJeapxq,16-02-2022 16:03,AXISCN0122719847,processed,0
trf_IwIjDYkQUWP3rh,order_IwIjDU0F5MmBtC,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,15-02-2022 18:57,,,,,
trf_IwIozIqxbuCi5A,order_IwIozCpn88NlpT,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,15-02-2022 19:02,setl_IweJANIaJeapxq,16-02-2022 16:03,AXISCN0122719847,processed,0
trf_IwZBYmV1Nrk8Ks,order_IwZBYgzLdT1ssn,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,16-02-2022 11:03,,,,,
trf_IwZE1V9q3qqt5z,order_IwZE1Q8WSEE0gb,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,16-02-2022 11:05,setl_Ix2tClePMpswOm,17-02-2022 16:06,AXISCN0122904458,processed,0
trf_IwanZZbseBndB9,order_IwanZUMDaahvyc,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,16-02-2022 12:37,setl_Ix2tClePMpswOm,17-02-2022 16:06,AXISCN0122904458,processed,0
trf_IwasUlias2aHqS,order_IwasUgoOundWIT,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,16-02-2022 12:42,,,,,
trf_IwavNn7XiuRQWv,order_IwavNjs39rHGW6,acc_I0pYcBq5LZdP9r,"{""name"":""Aayush Multi Speciality Hospital"",""email"":""aayushhospitalkharghar@gmail.com""}",13,INR,0,[],0,0,,16-02-2022 12:45,,,,,
trf_IwavQM1GNXG3sn,order_IwavQIVtMg59Fg,acc_I0pYcBq5LZdP9r,"{""name"":""Aayush Multi Speciality Hospital"",""email"":""aayushhospitalkharghar@gmail.com""}",13,INR,0,[],0,0,,16-02-2022 12:45,,,,,
trf_Iwb32s6VBgEiL1,order_Iwb32nYTAf1p13,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,16-02-2022 12:52,,,,,
trf_Iwb4UFy4rU4ou2,order_Iwb4UAg2EcrVWk,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,16-02-2022 12:53,,,,,
trf_IwemWS6InTEGQ4,order_IwemWNLBkWs7ht,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,16-02-2022 16:31,setl_Ix2tClePMpswOm,17-02-2022 16:06,AXISCN0122904458,processed,0
trf_Iwh16N1NN9l3o2,order_Iwh16HgO26hFKc,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,16-02-2022 18:42,,,,,
trf_Iwh5mN8JXQjp43,order_Iwh5mI3hlfShUb,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,16-02-2022 18:47,setl_Ix2tClePMpswOm,17-02-2022 16:06,AXISCN0122904458,processed,0
trf_Iwjyu95TImpbMI,order_Iwjyu4mvBgqM8x,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,16-02-2022 21:36,setl_Ix2tClePMpswOm,17-02-2022 16:06,AXISCN0122904458,processed,0
trf_IwkFEbtNBIjdDw,order_IwkFETfObS9PQ9,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,16-02-2022 21:52,setl_Ix2tClePMpswOm,17-02-2022 16:06,AXISCN0122904458,processed,0
trf_Ix2OFS44fBWZ8x,order_Ix2OFN3xjzqqfx,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,17-02-2022 15:37,setl_IxROCpRQkcFHKZ,18-02-2022 16:04,AXISCN0123063677,processed,0
trf_Ix3dcXitftg8hd,order_Ix3dcSm7iPWHnB,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,17-02-2022 16:50,setl_IxROCpRQkcFHKZ,18-02-2022 16:04,AXISCN0123063677,processed,0
trf_Ix3o4pnf3p4TZV,order_Ix3o4hFbvHYg9O,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,17-02-2022 17:00,setl_IxROCpRQkcFHKZ,18-02-2022 16:04,AXISCN0123063677,processed,0
trf_Ix45UvudyJCWBO,order_Ix45UrDHBiFHa1,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,17-02-2022 17:17,setl_IxROCpRQkcFHKZ,18-02-2022 16:04,AXISCN0123063677,processed,0
